address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg
1 E 63RD ST,12038,3/3/2014,4/27/2018,1517,7.935398813
1 E 75TH STREET,15159,3/1/2014,4/27/2018,1519,9.979591837
1 E 79TH STREET,38135,3/1/2014,4/27/2018,1519,25.10533246
1 N ASHLAND AVE,7229,3/1/2014,4/27/2018,1519,4.759052008
1 N HALSTED STREET,5696,3/1/2014,4/27/2018,1519,3.749835418
1 N HAMLIN AVENUE,5680,3/1/2014,4/27/2018,1519,3.739302172
1 S CENTRAL AVENUE,1071,3/4/2014,3/5/2015,367,2.918256131
1 S HALSTED STREET,6177,3/1/2014,4/27/2018,1519,4.066491113
1 S WESTERN AVE,3391,3/1/2014,4/27/2018,1519,2.23238973
100 E JACKSON BLVD,477,2/5/2018,4/27/2018,82,5.817073171
100 E ONTARIO ST,275,2/5/2018,4/27/2018,82,3.353658537
100 N CICERO AVENUE,18476,3/1/2014,4/27/2018,1519,12.16326531
100 W CHICAGO AVENUE,18792,3/1/2014,4/27/2018,1519,12.37129691
1000 W FOSTER AVE,2811,3/2/2014,4/27/2018,1518,1.851778656
1000 W HOLLYWOOD AVE,28004,3/1/2014,4/27/2018,1519,18.43581303
10300 S HALSTED STREE,6363,3/10/2014,10/26/2017,1327,4.795026375
10318 S INDIANAPOLIS,137386,3/1/2014,4/27/2018,1519,90.44502962
1110 S PULASKI RD,12684,10/20/2014,4/27/2018,1286,9.863141524
11100 S HALSTED ST,10106,4/9/2014,4/27/2018,1480,6.828378378
11100 S VINCENNES AVE,3488,3/10/2014,3/5/2015,361,9.662049861
1111 N HUMBOLDT,85298,3/1/2014,4/27/2018,1519,56.15404872
11144 S VINCENNES,18799,3/3/2014,4/27/2018,1517,12.39222149
11153 S VINCENNES,8459,3/3/2014,4/27/2018,1517,5.576137113
1117 S PULASKI RD,11032,10/20/2014,4/27/2018,1286,8.578538103
1142 W IRVING PARK,122147,3/1/2014,4/27/2018,1519,80.41277156
115 N OGDEN,63417,3/10/2014,4/27/2018,1510,41.99801325
11500 S HALSTED STREE,13617,3/1/2014,10/26/2017,1336,10.19236527
11900 S HALSTED,7482,3/1/2014,4/27/2018,1519,4.925608953
1200 N ASHLAND AVENUE,8833,3/1/2014,4/27/2018,1519,5.815009875
1200 N HALSTED,10589,3/2/2014,4/27/2018,1518,6.975625823
1200 N PULASKI ROAD,6697,3/2/2014,4/27/2018,1518,4.411725955
1200 S CANAL STREET,7850,3/1/2014,4/27/2018,1519,5.167873601
1200 S KOSTNER,5060,3/1/2014,4/27/2018,1519,3.331138907
1200 S PULASKI ROAD,4698,3/1/2014,4/27/2018,1519,3.092824226
1200 W DEVON AVE,4141,3/1/2014,4/27/2018,1519,2.726135616
1200 W FOSTER AVE,3063,3/1/2014,4/27/2018,1519,2.016458196
1226 N WESTERN AVE,12647,4/9/2014,4/27/2018,1480,8.54527027
1229 N WESTERN AVE,25744,4/9/2014,4/27/2018,1480,17.39459459
1300 W IRVING PARK ROAD,6587,3/5/2014,4/27/2018,1515,4.347854785
1315 W GARFIELD BLVD,60904,5/7/2014,4/27/2018,1452,41.94490358
1334 W GARFIELD BLVD,71099,5/7/2014,4/27/2018,1452,48.96625344
14 W CHICAGO AVE,1356,9/2/2014,4/27/2018,1334,1.016491754
140 N ASHLAND,19005,3/23/2014,4/27/2018,1497,12.69539078
140 W KINZIE,2280,3/4/2014,4/27/2018,1516,1.503957784
141 N ASHLAND,11194,3/23/2014,4/14/2018,1484,7.543126685
1440 W CERMAK RD,23779,10/16/2014,4/27/2018,1290,18.43333333
150 N SACRAMENTO BOUL,13488,3/1/2014,4/27/2018,1519,8.879526004
1507 W 83rd ST,7875,11/24/2014,4/27/2018,1251,6.294964029
1600 E 79TH ST,3356,3/1/2014,4/27/2018,1519,2.209348255
1600 E 83RD STREET,1224,3/1/2014,3/5/2015,370,3.308108108
1600 E 95TH STREET,13841,3/22/2014,5/30/2017,1166,11.87049743
